name_1,contrib_1,name_2,contrib_2,name_3,contrib_3,name_4,contrib_4,name_5,contrib_5,name_6,contrib_6,name_7,contrib_7,name_8,contrib_8,name_9,contrib_9,name_10,contrib_10,name_11,contrib_11,name_12,contrib_12,name_13,contrib_13,bias
29_texture_worst,0.6331006288528442,6_concave points_mean,0.46488380432128906,27_texture_mean,0.30189719796180725,15_perimeter_mean,-0.031084612011909485,0_area_mean,-0.05118265748023987,17_perimeter_worst,-0.05223734676837921,2_area_worst,-0.09617011994123459,20_radius_worst,-0.17654173076152801,1_area_se,-0.29529696702957153,23_smoothness_worst,-0.376268595457077,9_concavity_mean,-0.535870373249054,11_concavity_worst,-0.5705106258392334,8_concave points_worst,-0.9167740345001221,-1.6451346
8_concave points_worst,1.2508405447006226,20_radius_worst,0.933393657207489,2_area_worst,0.7483844757080078,17_perimeter_worst,0.7311016321182251,9_concavity_mean,0.6109049320220947,6_concave points_mean,0.5503227710723877,11_concavity_worst,0.539601743221283,23_smoothness_worst,0.4412113130092621,1_area_se,0.33157268166542053,15_perimeter_mean,0.25995203852653503,0_area_mean,0.1943179816007614,29_texture_worst,-0.7622053027153015,27_texture_mean,-0.8381267786026001,-1.6451346
20_radius_worst,0.896053671836853,6_concave points_mean,0.6397611498832703,29_texture_worst,0.5918603539466858,2_area_worst,0.5793926119804382,9_concavity_mean,0.5496072769165039,17_perimeter_worst,0.49286046624183655,27_texture_mean,0.4515797793865204,15_perimeter_mean,0.40886086225509644,1_area_se,0.3930315673351288,0_area_mean,0.35180994868278503,11_concavity_worst,-0.2927433252334595,8_concave points_worst,-0.3223517835140228,23_smoothness_worst,-0.4472538232803345,-1.6451346
29_texture_worst,0.5603883862495422,27_texture_mean,0.3349737226963043,0_area_mean,-0.13771747052669525,15_perimeter_mean,-0.16882482171058655,1_area_se,-0.2518227994441986,23_smoothness_worst,-0.353394478559494,11_concavity_worst,-0.4067942500114441,9_concavity_mean,-0.44631919264793396,6_concave points_mean,-0.46713656187057495,17_perimeter_worst,-0.47310593724250793,2_area_worst,-0.4883711338043213,20_radius_worst,-0.591030478477478,8_concave points_worst,-0.810748279094696,-1.6451346
8_concave points_worst,1.4555498361587524,6_concave points_mean,0.6606067419052124,11_concavity_worst,0.6183171272277832,9_concavity_mean,0.5345525145530701,23_smoothness_worst,0.44217410683631897,29_texture_worst,0.3490438759326935,15_perimeter_mean,0.03413901850581169,17_perimeter_worst,-0.02257080189883709,0_area_mean,-0.06973787397146225,2_area_worst,-0.14109015464782715,1_area_se,-0.24483519792556763,27_texture_mean,-0.273201584815979,20_radius_worst,-0.5002260208129883,-1.6451346
0_area_mean,-0.12335997819900513,15_perimeter_mean,-0.15553082525730133,1_area_se,-0.1953963190317154,23_smoothness_worst,-0.35568735003471374,6_concave points_mean,-0.3756365776062012,11_concavity_worst,-0.3998628556728363,9_concavity_mean,-0.42072585225105286,27_texture_mean,-0.4207342565059662,17_perimeter_worst,-0.44830676913261414,2_area_worst,-0.45784318447113037,20_radius_worst,-0.5371406078338623,29_texture_worst,-0.5611410737037659,8_concave points_worst,-0.7672913670539856,-1.6451346
27_texture_mean,0.14136502146720886,1_area_se,-0.0795309990644455,15_perimeter_mean,-0.15096652507781982,0_area_mean,-0.1732349991798401,23_smoothness_worst,-0.3358466625213623,29_texture_worst,-0.41608870029449463,11_concavity_worst,-0.4425656199455261,6_concave points_mean,-0.44919154047966003,17_perimeter_worst,-0.47864028811454773,9_concavity_mean,-0.4863070845603943,2_area_worst,-0.5031425356864929,20_radius_worst,-0.5844990611076355,8_concave points_worst,-0.810515820980072,-1.6451346
8_concave points_worst,1.2547887563705444,20_radius_worst,0.9714321494102478,2_area_worst,0.7655288577079773,17_perimeter_worst,0.7427659630775452,29_texture_worst,0.7035797238349915,9_concavity_mean,0.628144383430481,6_concave points_mean,0.6018295288085937,11_concavity_worst,0.5188918709754944,1_area_se,0.4001896381378174,27_texture_mean,0.3946358561515808,15_perimeter_mean,0.30985021591186523,0_area_mean,0.2946774959564209,23_smoothness_worst,-0.34235385060310364,-1.6451346
27_texture_mean,0.00087952078320086,0_area_mean,-0.1439792364835739,15_perimeter_mean,-0.1685820370912552,1_area_se,-0.2075105756521225,23_smoothness_worst,-0.3326822817325592,11_concavity_worst,-0.420351505279541,6_concave points_mean,-0.4266798198223114,9_concavity_mean,-0.4506056010723114,29_texture_worst,-0.4615415632724762,17_perimeter_worst,-0.4802769720554352,2_area_worst,-0.49859902262687683,20_radius_worst,-0.5816232562065125,8_concave points_worst,-0.8007956743240356,-1.6451346
6_concave points_mean,0.6163521409034729,2_area_worst,0.4410950541496277,20_radius_worst,0.4080272614955902,1_area_se,0.4041992425918579,15_perimeter_mean,0.23641087114810944,9_concavity_mean,0.11825253069400787,17_perimeter_worst,0.025038285180926323,0_area_mean,-0.019976075738668442,27_texture_mean,-0.3315199613571167,23_smoothness_worst,-0.43342527747154236,11_concavity_worst,-0.5957404375076294,29_texture_worst,-0.6492196917533875,8_concave points_worst,-0.9164371490478516,-1.6451346
29_texture_worst,0.8703325390815735,27_texture_mean,0.4440177381038666,0_area_mean,-0.14835959672927856,15_perimeter_mean,-0.17265082895755768,1_area_se,-0.2459278106689453,23_smoothness_worst,-0.28655433654785156,11_concavity_worst,-0.4196476936340332,9_concavity_mean,-0.44089946150779724,17_perimeter_worst,-0.45738300681114197,6_concave points_mean,-0.45907285809516907,2_area_worst,-0.4935830235481262,20_radius_worst,-0.5738978981971741,8_concave points_worst,-0.8120872378349304,-1.6451346
23_smoothness_worst,0.3294063210487366,29_texture_worst,0.259138822555542,0_area_mean,-0.149313822388649,15_perimeter_mean,-0.18099001049995422,27_texture_mean,-0.2414773851633072,1_area_se,-0.24961818754673004,11_concavity_worst,-0.4280271828174591,6_concave points_mean,-0.4290347695350647,9_concavity_mean,-0.4651649594306946,17_perimeter_worst,-0.4799330532550812,2_area_worst,-0.4955770969390869,20_radius_worst,-0.5905510187149048,8_concave points_worst,-0.8389636278152466,-1.6451346
